Creek,Date,Lat,Long,Measurement,Value
Austin,1987-03-01,35.96138888888889,-78.4863888888889,Biotic Index (BI),3.59183673469388
Back,2003-07-01,35.30888888888889,-80.64750000000001,Biotic Index (BI),6.95632911392405
Back,1996-08-01,35.6875,-79.93472222222222,Biotic Index (BI),4.56388888888889
Back,1999-11-01,36.08583333333333,-79.33472222222221,Biotic Index (BI),6.32926829268293
Back,1984-10-01,35.27777777777778,-80.73166666666667,Biotic Index (BI),6.1715
Back,2003-07-01,35.27777777777778,-80.73166666666667,Biotic Index (BI),5.86415094339623
Basal,1986-05-01,35.62111111111111,-78.81777777777778,Biotic Index (BI),5.81294117647059
Basin,2006-09-01,36.17472222222222,-79.48305555555555,Biotic Index (BI),7.25693430656934
Basin,1989-10-01,36.375,-81.15833333333335,Biotic Index (BI),2.76193548387097
Bear,1990-03-01,36.39083333333333,-81.40472222222223,Biotic Index (BI),2.02328767123288
Bear,1993-08-01,35.44083333333333,-79.58916666666666,Biotic Index (BI),6.25665399239544
Bear,1998-07-01,35.44083333333333,-79.58916666666666,Biotic Index (BI),5.65168195718654
Bear,2003-07-01,35.44083333333333,-79.58916666666666,Biotic Index (BI),5.39850187265918
Bear,2008-07-01,35.4408333333333,-79.5891666666667,Biotic Index (BI),6.69401408450704
Bear,2013-06-01,35.4408333333333,-79.5891666666667,Biotic Index (BI),6.11555555555556
Bear,1994-07-01,35.47222222222222,-83.57,Biotic Index (BI),1.95592592592593
Bear,2012-08-01,35.93123,-82.10932,Biotic Index (BI),2.78761061946903
Bear,1988-04-01,35.82555555555556,-80.585,Biotic Index (BI),6.26820809248555
Bear,1988-04-01,35.86666666666667,-80.575,Biotic Index (BI),5.85282392026578
Bear,1994-07-01,35.27222222222222,-83.7225,Biotic Index (BI),3.12551440329218
Bear,1991-07-01,35.248333333333335,-77.78444444444445,Biotic Index (BI),4.97272727272727
Bear,1995-08-01,35.248333333333335,-77.78444444444445,Biotic Index (BI),5.57931034482759
Bear,2000-08-01,35.248333333333335,-77.78444444444445,Biotic Index (BI),5.20576923076923
Bear,2005-07-01,35.248333333333335,-77.78444444444445,Biotic Index (BI),4.66571428571429
Bear,2010-08-01,35.2483333333333,-77.7844444444444,Biotic Index (BI),4.72857142857143
Bear,2015-06-01,35.2483333333333,-77.7844444444444,Biotic Index (BI),5.55151515151515
Bear,2005-07-01,35.36388888888889,-77.8111111111111,Biotic Index (BI),6.43414634146342
Bear,1990-07-01,35.63194444444444,-79.23666666666666,Biotic Index (BI),4.79852941176471
Bear,2003-03-01,35.63194444444444,-79.23666666666666,Biotic Index (BI),4.98823529411765
Bear,2009-03-01,35.6319444444444,-79.2366666666667,Biotic Index (BI),4.77529411764706
Bear,2013-06-01,35.6319444444444,-79.2366666666667,Biotic Index (BI),5.22857142857143
Bear,2008-03-01,35.625569,-79.298758,Biotic Index (BI),4.22040816326531
Bear,1991-08-01,35.6175,-79.32694444444444,Biotic Index (BI),6.49927272727273
Bear,1991-08-01,35.609722222222224,-79.34583333333333,Biotic Index (BI),6.67769784172662
Bear,1994-05-01,35.905,-80.60444444444444,Biotic Index (BI),5.61901840490798
Beartree,1986-04-01,35.76361111111111,-79.0525,Biotic Index (BI),4.82981818181818
Beartree,1993-07-01,35.76361111111111,-79.0525,Biotic Index (BI),6.41851851851852
Beaver,2013-04-01,36.365308,-80.663005,Biotic Index (BI),3.78975265017668
Beaver,2013-04-01,36.361852,-80.672133,Biotic Index (BI),4.2783393501805
Beaver,2012-08-01,35.91315,-82.06557,Biotic Index (BI),4.48518518518518
Beaver,2002-06-01,36.07472222222223,-81.35222222222221,Biotic Index (BI),4.224
Beaver,1990-03-01,36.349722222222226,-81.46277777777777,Biotic Index (BI),2.85533980582524
Beaver,2000-03-01,35.13166666666667,-77.44888888888889,Biotic Index (BI),7.288
Beaver,1991-07-01,35.125,-77.43472222222222,Biotic Index (BI),5.56590909090909
Beaver,2002-06-01,35.21,-83.83027777777778,Biotic Index (BI),2.51155778894472
Beaver,2002-04-01,35.26916666666666,-79.22694444444444,Biotic Index (BI),5.59673202614379
Beaverdam,1999-03-01,33.95416666666667,-78.08694444444444,Biotic Index (BI),5.98323353293413
Beaverdam,1999-03-01,33.95277777777778,-78.08694444444444,Biotic Index (BI),6.27765363128491
Beaverdam,1995-07-01,35.250277777777775,-81.63027777777778,Biotic Index (BI),5.74093567251462
Beaverdam,2000-07-01,35.250277777777775,-81.63027777777778,Biotic Index (BI),5.68
Beaverdam,2005-07-01,35.250277777777775,-81.63027777777778,Biotic Index (BI),4.91232876712329
Beaverdam,2010-06-01,35.2502777777778,-81.6302777777778,Biotic Index (BI),5.03527272727273
Beaverdam,2015-08-01,35.2502777777778,-81.6302777777778,Biotic Index (BI),5.33948126801153
Beaverdam,2002-05-01,35.52916666666667,-82.69277777777778,Biotic Index (BI),3.43872549019608
Beaverdam,1999-03-01,33.94222222222222,-78.09222222222222,Biotic Index (BI),4.9794701986755
Beaverdam,1995-03-01,35.0675,-77.27694444444444,Biotic Index (BI),6.059
Beaverdam,2005-03-01,35.0675,-77.27694444444444,Biotic Index (BI),6.59056603773585
Beaverdam,2010-03-01,35.0675,-77.2769444444444,Biotic Index (BI),6.16535433070866
Beaverdam,1991-07-01,35.76861111111111,-78.18361111111112,Biotic Index (BI),5.81910994764398
Beaverdam,2000-10-01,35.76861111111111,-78.18361111111112,Biotic Index (BI),6.39771689497717
Beaverdam,2001-08-01,35.76861111111111,-78.18361111111112,Biotic Index (BI),6.27142857142857
Beaverdam,1988-05-01,35.75333333333333,-78.16666666666667,Biotic Index (BI),6.0527972027972
Beaverdam,1991-05-01,35.75333333333333,-78.16666666666667,Biotic Index (BI),6.44618320610687
Beaverdam,1994-08-01,36.27722222222222,-81.86861111111111,Biotic Index (BI),2.37795275590551
Beaverdam,1999-07-01,36.27722222222222,-81.86861111111111,Biotic Index (BI),2.64423076923077
Beaverdam,2004-08-01,36.27722222222222,-81.86861111111111,Biotic Index (BI),2.30901639344262
Beaverdam,2008-06-01,36.2772222222222,-81.8686111111111,Biotic Index (BI),2.436866359447
Beaverdam,2009-03-01,36.2772222222222,-81.8686111111111,Biotic Index (BI),2.99764705882353
Beaverdam,2013-07-01,36.2772222222222,-81.8686111111111,Biotic Index (BI),2.24406779661017
Beaverdam,2008-06-01,36.2914,-81.8325,Biotic Index (BI),2.3469387755102
Beaverdam,1994-08-01,35.19277777777778,-84.13416666666667,Biotic Index (BI),2.38787878787879
Beaverdam,1999-08-01,35.19277777777778,-84.13416666666667,Biotic Index (BI),2.4547619047619
Beaverdam,2004-08-01,35.19277777777778,-84.13416666666667,Biotic Index (BI),2.15621890547264
Beaverdam,2014-06-01,35.1927777777778,-84.1341666666667,Biotic Index (BI),2.00947867298578
Beaverdam,1996-08-01,35.02158,-79.683927,Biotic Index (BI),3.52857142857143
Beaverdam,2001-08-01,35.02158,-79.683927,Biotic Index (BI),2.5811320754717
Beaverdam,2006-05-01,35.404444444444444,-81.24527777777777,Biotic Index (BI),5.12440758293839
Beaverdam,2002-05-01,35.48594,-82.689137,Biotic Index (BI),2.02155963302752
